sample_id	time	treatment	time_num	time_unit
ERR10802882	10dpi	cathemerium	10	dpi
ERR10802875	10dpi	cathemerium	10	dpi
ERR10802879	10dpi	cathemerium	10	dpi
ERR10802883	10dpi	cathemerium	10	dpi
ERR10802878	10dpi	control	10	dpi
ERR10802884	10dpi	control	10	dpi
ERR10802877	10dpi	control	10	dpi
ERR10802881	10dpi	control	10	dpi
ERR10802876	10dpi	relictum	10	dpi
ERR10802880	10dpi	relictum	10	dpi
ERR10802885	10dpi	relictum	10	dpi
ERR10802886	10dpi	relictum	10	dpi
ERR10802864	24hpi	cathemerium	24	hpi
ERR10802867	24hpi	cathemerium	24	hpi
ERR10802870	24hpi	cathemerium	24	hpi
ERR10802866	24hpi	control	24	hpi
ERR10802869	24hpi	control	24	hpi
ERR10802863	24hpi	control	24	hpi
ERR10802871	24hpi	relictum	24	hpi
ERR10802874	24hpi	relictum	24	hpi
ERR10802865	24hpi	relictum	24	hpi
ERR10802868	24hpi	relictum	24	hpi
